Date,Ticker,Shares,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-07-18,ABEO,6.0,5.77,4.9,6.59,39.54,4.92,HOLD,,
2025-07-18,CADL,5.0,5.04,4.03,6.74,33.7,8.5,HOLD,,
2025-07-18,AZTR,55.0,0.25,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-18,IINN,20.0,1.5,1.1,1.41,28.2,-1.8,HOLD,,
2025-07-18,TOTAL,,,,,114.09,10.52,,2.32,116.41
2025-07-21,ABEO,6.0,5.77,4.9,6.75,40.5,5.88,HOLD,,
2025-07-21,AZTR,55.0,0.25,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-21,IINN,20.0,1.5,1.1,1.3,26.0,-4.0,HOLD,,
2025-07-21,ACTU,6.0,5.75,4.89,5.66,33.96,-0.54,HOLD,,
2025-07-21,TOTAL,,,,,113.11,0.24,,0.77,113.88
2025-07-22,ABEO,6.0,5.77,4.9,6.52,39.12,4.5,HOLD,,
2025-07-22,AZTR,55.0,0.25,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-22,IINN,20.0,1.5,1.1,1.38,27.6,-2.4,HOLD,,
2025-07-22,ACTU,6.0,5.75,4.89,6.26,37.56,3.06,HOLD,,
2025-07-22,TOTAL,,,,,116.93,4.06,,2.32,119.25
2025-07-23,ABEO,6.0,5.77,4.9,6.71,40.26,5.64,HOLD,,
2025-07-23,AZTR,55.0,0.25,0.18,0.24,13.2,-0.55,HOLD,,
2025-07-23,IINN,20.0,1.5,1.1,1.36,27.2,-2.8,HOLD,,
2025-07-23,ACTU,6.0,5.75,4.89,6.6,39.6,5.1,HOLD,,
2025-07-23,TOTAL,,,,,120.26,7.39,,2.32,122.58
2025-07-24,ABEO,6.0,5.77,4.9,6.65,39.9,5.28,HOLD,,
2025-07-24,AZTR,55.0,0.25,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-24,IINN,20.0,1.5,1.1,1.43,28.6,-1.4,HOLD,,
2025-07-24,ACTU,6.0,5.75,4.89,6.99,41.94,7.44,HOLD,,
2025-07-24,TOTAL,,,,,123.09,10.22,,2.32,125.41
2025-07-25,ABEO,6.0,5.77,4.9,6.53,39.18,4.56,HOLD,,
2025-07-25,AZTR,55.0,0.25,0.18,0.22,12.1,-1.65,HOLD,,
2025-07-25,IINN,20.0,1.5,1.1,1.41,28.2,-1.8,HOLD,,
2025-07-25,ACTU,6.0,5.75,4.89,7.26,43.56,9.06,HOLD,,
2025-07-25,TOTAL,,,,,123.04,10.17,,2.32,125.36
2025-07-28,ABEO,6.0,5.77,4.9,6.62,39.72,5.1,HOLD,,
2025-07-28,IINN,14.0,1.5,1.1,1.34,18.76,-2.24,HOLD,,
2025-07-28,ACTU,6.0,5.75,4.89,6.86,41.16,6.66,HOLD,,
2025-07-28,AZTR,55.0,0.25,0.18,0.2,11.0,-2.75,HOLD,, 
2025-07-28,TOTAL,,,,,110.64,6.77,,11.32,121.96
2025-07-29,ABEO,6.0,5.77,4.9,6.75,40.5,5.88,HOLD,,
2025-07-29,IINN,14.0,1.5,1.1,1.26,17.64,-3.36,HOLD,,
2025-07-29,ACTU,6.0,5.75,4.89,6.77,40.62,6.12,HOLD,,
2025-07-29,TOTAL,,,,,98.76,8.64,,22.32,121.08
2025-07-30,ABEO,6.0,5.77,4.9,6.8,40.8,6.18,HOLD,,
2025-07-30,IINN,14.0,1.5,1.1,1.26,17.64,-3.36,HOLD,,
2025-07-30,ACTU,6.0,5.75,4.89,7.27,43.62,9.12,HOLD,,
2025-07-30,TOTAL,,,,,102.06,11.94,,22.32,124.38
2025-07-31,ABEO,6.0,5.77,4.9,6.37,38.22,3.6,HOLD,,
2025-07-31,IINN,14.0,1.5,1.1,1.27,17.78,-3.22,HOLD,,
2025-07-31,ACTU,6.0,5.75,4.89,7.25,43.5,9.0,HOLD,,
2025-07-31,TOTAL,,,,,99.5,9.38,,22.32,121.82
2025-08-01,ABEO,4.0,5.77,4.9,6.49,25.96,2.88,HOLD,,
2025-08-01,IINN,16.0,1.5,1.1,1.23,19.68,-4.32,HOLD,,
2025-08-01,ACTU,6.0,5.75,4.89,7.26,43.56,9.06,HOLD,,
2025-08-01,TOTAL,,,,,89.2,7.62,,31.58,120.78
2025-08-04,ABEO,4,5.77,4.9,6.42,25.68,2.6,HOLD,,
2025-08-04,IINN,16,1.5,1.1,1.31,20.96,-3.04,HOLD,,
2025-08-04,ACTU,6,5.75,4.89,7.07,42.42,7.92,HOLD,,
2025-08-04,TOTAL,,,,,89.06,7.48,,31.58,120.64
